CMI;renda
16.24815362;467.72
13.20378675;672.87
14.46280992;446.58
14.03905115;718.79
16.80672269;553.47
20.81665332;507.7
17.15265866;401.7
21.96969697;352.67
18.13165156;572.48
16.40061229;475.62
14.2824234;557.06
17.3092869;710.25
15.23202267;395.12
15.32033426;489.27
17.10730949;563.31
13.57466063;720.94
16.88696666;881.25
27.47710241;517.83
4.608294931;419.26
12.23817369;632.16
13.76936317;470.99
15.05090748;759.55
13.11866428;431.45
18.01801802;366.91
12.33396584;465
18.86792453;332.96
13.57466063;494.17
10.00606428;442.48
4.8;331.53
13.33333333;497.18
22.39641657;505.42
21.14164905;456.43
8.583690987;455.51
18.96551724;479.27
18.53658537;484.24
8.997429306;387.17
8.196721311;409.75
23.06425041;433.38
14.00862069;514.48
11.58645276;435.86
15.7480315;349.95
8.695652174;334.24
31.53153153;490.14
8.695652174;440.22
2.638522427;366.12
17.06161137;459.4
19.65065502;437.95
10.23890785;460.43
11.74743025;379.39
20;374.22
10.68376068;391.52
8.830022075;421.64
21.24430956;294
11.71303075;282.65
17.11783439;331.45
15.81920904;330.31
19.19191919;332.55
15.89077887;436.05
22.36652237;453.98
21.89101071;243.32
53.14009662;174.21
13.98285972;293.1
19.96370236;301.88
10.20408163;156.7
10.47986762;308.17
10.320478;203.88
15.74262158;703.82
7.736156352;179.3
47.31574158;201.43
15.60062402;449.69
14.64476549;316.63
23.1316726;248.2
14.79654747;371.79
12.11072664;310.09
16.70644391;164.81
21.37767221;153.52
15.92356688;226.67
20.40816327;226.78
21.31438721;372.69
27.75941837;157.45
10.76320939;224.76
33.93939394;224.16
21.37767221;145.29
19.14550584;207.98
10.61678463;189.46
13.69047619;167.81
11.04972376;284.5
12.43493349;215.9
10.05586592;222.74
21.19071645;199.28
24.92620531;212.91
14.30761369;192.03
22.83539486;205.17
16.70750724;314.89
14.20064132;230.67
37.99019608;240.95
36.38644918;203.7
18.34862385;198.26
15.40832049;190.57
15.86571626;370.31
14.53224342;153.89
13.28447091;324.55
16.34179957;364.12
17.30103806;172.1
12.77955272;319.98
21.47239264;247.01
14.5631068;225.17
11.93887297;213.87
27.03463813;223.69
15.10663507;335.3
11.42857143;248.52
14.29124573;738.42
15.10067114;292.25
23.7946149;126.8
17.83038657;238.1
9.061488673;183.82
16.36606546;224
19.8019802;242.85
16.49813731;219.57
17.6398453;307.1
25.62459962;213.82
11.0560427;385.09
16.42935378;306.91
37.08523097;129.88
19.47386402;118.9
39.44273566;332.02
20.74004242;148
13.65187713;261.07
20.47413793;233.86
23.53410451;319.73
13.58148893;190
16.98782961;386.88
4.19412822;188.63
27.72643253;221.46
6;236.08
7.946210269;219.1
23.58827734;119.41
