DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUN;NOME_MUN;ZONA;COD_CARGO;DESC_CARGO;TIPO_LEGENDA;NOME_COLIGACAO;CAMPOSICAO_LEGENDA;PARTIDO;NUM_PARTIDO;NOME_PART;QTDE_VOTOS;QTDE_VOTOS_LEGENDA;SEQUENCIAL_COLIGACAO
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;3;GOVERNADOR;C;COLIGAÇÃO PODER POPULAR ACREANO;#NE#;PRTB;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;20;0;10000000017
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;3;GOVERNADOR;C;FPA I;#NE#;PT;13;PARTIDO DOS TRABALHADORES;1751;0;10000000005
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;3;GOVERNADOR;C;LIBERDADE E PRODUZIR PARA EMPREGAR;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;4766;0;10000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;5;SENADOR;C;FPA I;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;1634;0;10000000005
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;5;SENADOR;C;FPA I;#NE#;PT;13;PARTIDO DOS TRABALHADORES;2558;0;10000000005
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;5;SENADOR;C;LIBERDADE E PRODUZIR PARA EMPREGAR;#NE#;PMN;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;4430;0;10000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;5;SENADOR;C;LIBERDADE E PRODUZIR PARA EMPREGAR;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;3506;0;10000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;COLIGAÇÃO PODER POPULAR ACREANO;#NE#;PRTB;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;0;0;10000000017
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;COLIGAÇÃO PODER POPULAR ACREANO;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;0;0;10000000017
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;188;25;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;14;26;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PHS;31;PARTIDO HUMANISTA DA SOLIDARIEDADE;0;8;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PP;11;PARTIDO PROGRESSISTA;713;43;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PRB;10;PARTIDO REPUBLICANO BRASILEIRO;10;5;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PRP;44;PARTIDO REPUBLICANO PROGRESSISTA;10;4;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PSDC;27;PARTIDO SOCIAL DEMOCRATA CRISTÃO;6;7;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;0;6;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PTB;14;PARTIDO TRABALHISTA BRASILEIRO;0;7;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PTC;36;PARTIDO TRABALHISTA CRISTÃO;0;4;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PTN;19;PARTIDO TRABALHISTA NACIONAL;0;1;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PV;43;PARTIDO VERDE;40;8;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PR;22;PARTIDO DA REPÚBLICA;8;2;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;FPA II;#NE#;PT;13;PARTIDO DOS TRABALHADORES;1537;175;10000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;LIBERDADE E PRODUZIR PARA EMPREGAR I;#NE#;DEM;25;DEMOCRATAS;5;8;10000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;LIBERDADE E PRODUZIR PARA EMPREGAR I;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;9;4;10000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;LIBERDADE E PRODUZIR PARA EMPREGAR I;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;765;12;10000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;LIBERDADE E PRODUZIR PARA EMPREGAR I;#NE#;PSL;17;PARTIDO SOCIAL LIBERAL;0;4;10000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;LIBERDADE E PRODUZIR PARA EMPREGAR I;#NE#;PT do B;70;PARTIDO TRABALHISTA DO BRASIL;0;1;10000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;LIBERDADE E PRODUZIR PARA EMPREGAR I;#NE#;PMN;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;270;171;10000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;LIBERDADE E PRODUZIR PARA EMPREGAR I;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1933;156;10000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;6;DEPUTADO FEDERAL;C;LIBERDADE E PRODUZIR PARA EMPREGAR I;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;376;59;10000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;COLIGAÇÃO PODER POPULAR ACREANO;#NE#;PRTB;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;172;5;10000000017
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;COLIGAÇÃO PODER POPULAR ACREANO;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;0;2;10000000017
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FPA III;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;187;34;10000000012
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FPA III;#NE#;PHS;31;PARTIDO HUMANISTA DA SOLIDARIEDADE;2;6;10000000012
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FPA III;#NE#;PTN;19;PARTIDO TRABALHISTA NACIONAL;62;6;10000000012
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FPA III;#NE#;PR;22;PARTIDO DA REPÚBLICA;63;12;10000000012
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FPA III;#NE#;PT;13;PARTIDO DOS TRABALHADORES;799;102;10000000012
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FRENTE REPUBLICANA TRABALHISTA VERDE;#NE#;PRB;10;PARTIDO REPUBLICANO BRASILEIRO;27;9;10000000014
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FRENTE REPUBLICANA TRABALHISTA VERDE;#NE#;PRP;44;PARTIDO REPUBLICANO PROGRESSISTA;74;16;10000000014
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FRENTE REPUBLICANA TRABALHISTA VERDE;#NE#;PTB;14;PARTIDO TRABALHISTA BRASILEIRO;53;9;10000000014
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FRENTE REPUBLICANA TRABALHISTA VERDE;#NE#;PV;43;PARTIDO VERDE;43;8;10000000014
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AC;AC;01120;ACRELÂNDIA;8;7;DEPUTADO ESTADUAL;C;FRENTE SOCIAL TRABALHISTA CRISTÃ;#NE#;PSDC;27;PARTIDO SOCIAL DEMOCRATA CRISTÃO;316;12;10000000016
