DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUN;NOME_MUN;ZONA;COD_CARGO;DESC_CARGO;TIPO_LEGENDA;NOME_COLIGACAO;CAMPOSICAO_LEGENDA;PARTIDO;NUM_PARTIDO;NOME_PART;QTDE_VOTOS;QTDE_VOTOS_LEGENDA;SEQUENCIAL_COLIGACAO
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;3;GOVERNADOR;C;AVANÇA AMAZONAS;#NE#;PMN;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;2700;0;40000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;3;GOVERNADOR;C;O AMAZONAS DE TODOS NÓS;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;41;0;40000000016
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;3;GOVERNADOR;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PR;22;PARTIDO DA REPÚBLICA;2534;0;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;3;GOVERNADOR;P;PARTIDO COMUNISTA BRASILEIRO;#NE#;PCB;21;PARTIDO COMUNISTA BRASILEIRO;2;0;40000000010
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;3;GOVERNADOR;P;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;#NE#;PSTU;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;2;0;40000000007
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;5;SENADOR;C;AVANÇA AMAZONAS;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;1732;0;40000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;5;SENADOR;C;AVANÇA AMAZONAS;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;4277;0;40000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;5;SENADOR;C;O AMAZONAS DE TODOS NÓS;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;3457;0;40000000016
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;5;SENADOR;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;496;0;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;5;SENADOR;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PT;13;PARTIDO DOS TRABALHADORES;449;0;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;5;SENADOR;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;3;0;40000000014
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;5;SENADOR;P;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;#NE#;PSTU;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;3;0;40000000007
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;DEM;25;DEMOCRATAS;294;10;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;164;17;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PP;11;PARTIDO PROGRESSISTA;1588;29;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PRTB;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;0;3;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PRB;10;PARTIDO REPUBLICANO BRASILEIRO;0;5;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PRP;44;PARTIDO REPUBLICANO PROGRESSISTA;0;15;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;1445;51;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PTB;14;PARTIDO TRABALHISTA BRASILEIRO;132;10;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PTC;36;PARTIDO TRABALHISTA CRISTÃO;0;2;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PTN;19;PARTIDO TRABALHISTA NACIONAL;0;3;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PMN;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;37;22;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;AVANÇA AMAZONAS;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;1023;91;40000000011
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS DE TODOS NÓS;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;0;6;40000000016
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS DE TODOS NÓS;#NE#;PV;43;PARTIDO VERDE;3;4;40000000016
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS DE TODOS NÓS;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;10;48;40000000016
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;8;35;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PSDC;27;PARTIDO SOCIAL DEMOCRATA CRISTÃO;0;1;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PSL;17;PARTIDO SOCIAL LIBERAL;6;2;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;283;7;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PT do B;70;PARTIDO TRABALHISTA DO BRASIL;8;0;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PR;22;PARTIDO DA REPÚBLICA;19;23;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PT;13;PARTIDO DOS TRABALHADORES;127;40;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;P;PARTIDO COMUNISTA BRASILEIRO;#NE#;PCB;21;PARTIDO COMUNISTA BRASILEIRO;1;11;40000000010
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;P;PARTIDO HUMANISTA DA SOLIDARIEDADE;#NE#;PHS;31;PARTIDO HUMANISTA DA SOLIDARIEDADE;0;2;40000000021
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;0;3;40000000014
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;6;DEPUTADO FEDERAL;P;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;#NE#;PSTU;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;0;3;40000000007
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;AVANÇA AMAZONAS;#NE#;PHS;31;PARTIDO HUMANISTA DA SOLIDARIEDADE;65;13;40000000015
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;AVANÇA AMAZONAS;#NE#;PP;11;PARTIDO PROGRESSISTA;71;64;40000000015
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;AVANÇA AMAZONAS;#NE#;PRTB;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;16;4;40000000015
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;AVANÇA AMAZONAS;#NE#;PRB;10;PARTIDO REPUBLICANO BRASILEIRO;13;15;40000000015
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;AVANÇA AMAZONAS;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;232;23;40000000015
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;AVANÇA AMAZONAS;#NE#;PMN;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;203;48;40000000015
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;AVANÇA AMAZONAS;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;947;89;40000000015
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;DEMOCRACIA E TRABALHO;#NE#;DEM;25;DEMOCRATAS;59;8;40000000017
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;DEMOCRACIA E TRABALHO;#NE#;PRP;44;PARTIDO REPUBLICANO PROGRESSISTA;1014;15;40000000017
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;DEMOCRACIA E TRABALHO;#NE#;PTB;14;PARTIDO TRABALHISTA BRASILEIRO;10;4;40000000017
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;O AMAZONAS DE TODOS NÓS;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;286;9;40000000016
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;O AMAZONAS DE TODOS NÓS;#NE#;PV;43;PARTIDO VERDE;24;2;40000000016
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;O AMAZONAS DE TODOS NÓS;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;47;17;40000000016
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;O AMAZONAS MELHOR PARA TODOS 1;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;67;5;40000000005
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;O AMAZONAS MELHOR PARA TODOS 1;#NE#;PT do B;70;PARTIDO TRABALHISTA DO BRASIL;18;3;40000000005
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;O AMAZONAS MELHOR PARA TODOS 1;#NE#;PR;22;PARTIDO DA REPÚBLICA;31;21;40000000005
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;O AMAZONAS MELHOR PARA TODOS 2;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;329;42;40000000001
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;O AMAZONAS MELHOR PARA TODOS 2;#NE#;PSL;17;PARTIDO SOCIAL LIBERAL;0;1;40000000001
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;O AMAZONAS MELHOR PARA TODOS 2;#NE#;PT;13;PARTIDO DOS TRABALHADORES;706;60;40000000001
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;UNIDOS PELO AMAZONAS;#NE#;PTC;36;PARTIDO TRABALHISTA CRISTÃO;8;3;40000000012
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;C;UNIDOS PELO AMAZONAS;#NE#;PTN;19;PARTIDO TRABALHISTA NACIONAL;516;18;40000000012
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;P;PARTIDO COMUNISTA BRASILEIRO;#NE#;PCB;21;PARTIDO COMUNISTA BRASILEIRO;1;3;40000000010
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;P;PARTIDO COMUNISTA DO BRASIL;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;142;8;40000000018
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;0;1;40000000014
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02895;ALVARÃES;60;7;DEPUTADO ESTADUAL;P;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;#NE#;PSTU;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;0;10;40000000007
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02917;AMATURÁ;22;3;GOVERNADOR;C;AVANÇA AMAZONAS;#NE#;PMN;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;1654;0;40000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02917;AMATURÁ;22;3;GOVERNADOR;C;O AMAZONAS DE TODOS NÓS;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;24;0;40000000016
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02917;AMATURÁ;22;3;GOVERNADOR;C;O AMAZONAS MELHOR PARA TODOS;#NE#;PR;22;PARTIDO DA REPÚBLICA;1387;0;40000000006
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02917;AMATURÁ;22;3;GOVERNADOR;P;PARTIDO COMUNISTA BRASILEIRO;#NE#;PCB;21;PARTIDO COMUNISTA BRASILEIRO;2;0;40000000010
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02917;AMATURÁ;22;3;GOVERNADOR;P;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;#NE#;PSTU;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;3;0;40000000007
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02917;AMATURÁ;22;5;SENADOR;C;AVANÇA AMAZONAS;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;1474;0;40000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02917;AMATURÁ;22;5;SENADOR;C;AVANÇA AMAZONAS;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;2138;0;40000000009
27/03/2015;13:22:47;2010;1;ELEIÇÕES 2010;AM;AM;02917;AMATURÁ;22;5;SENADOR;C;O AMAZONAS DE TODOS NÓS;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1568;0;40000000016
