DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUN;NOME_MUN;ZONA;COD_CARGO;DESC_CARGO;TIPO_LEGENDA;NOME_COLIGACAO;CAMPOSICAO_LEGENDA;PARTIDO;NUM_PARTIDO;NOME_PART;QTDE_VOTOS;QTDE_VOTOS_LEGENDA;SEQUENCIAL_COLIGACAO
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;3;GOVERNADOR;C;GOIAS PRA VOCÊ, NÃO PRA ELES;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;5;0;90000000013
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;3;GOVERNADOR;C;GOIAS RUMO AO FUTURO;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;2310;0;90000000017
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;3;GOVERNADOR;C;GOIÁS NO RUMO CERTO;#NE#;PR;22;PARTIDO DA REPÚBLICA;544;0;90000000011
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;3;GOVERNADOR;C;GOIÁS QUER MAIS;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1553;0;90000000004
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;3;GOVERNADOR;P;PARTIDO COMUNISTA BRASILEIRO;#NE#;PCB;21;PARTIDO COMUNISTA BRASILEIRO;15;0;90000000012
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;5;SENADOR;C;GOIAS PRA VOCÊ, NÃO PRA ELES;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;51;0;90000000013
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;5;SENADOR;C;GOIAS PRA VOCÊ, NÃO PRA ELES;#NE#;PSTU;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;3;0;90000000013
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;5;SENADOR;C;GOIAS RUMO AO FUTURO;#NE#;PT;13;PARTIDO DOS TRABALHADORES;1353;0;90000000017
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;5;SENADOR;C;GOIÁS NO RUMO CERTO;#NE#;PP;11;PARTIDO PROGRESSISTA;456;0;90000000011
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;5;SENADOR;C;GOIÁS QUER MAIS;#NE#;DEM;25;DEMOCRATAS;3275;0;90000000004
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;5;SENADOR;C;GOIÁS QUER MAIS;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;2012;0;90000000004
27/03/2015;13:22:49;2010;1;ELEIÇÕES 2010;GO;GO;93360;ABADIA DE GOIÁS;56;5;SENADOR;P;PARTIDO COMUNISTA BRASILEIRO;#NE#;PCB;21;PARTIDO COMUNISTA BRASILEIRO;8;0;90000000012
