DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUN;NOME_MUN;ZONA;COD_CARGO;DESC_CARGO;TIPO_LEGENDA;NOME_COLIGACAO;CAMPOSICAO_LEGENDA;PARTIDO;NUM_PARTIDO;NOME_PART;QTDE_VOTOS;QTDE_VOTOS_LEGENDA;SEQUENCIAL_COLIGACAO
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;3;GOVERNADOR;C;PRA RORAIMA VOLTAR A SER FELIZ;#NE#;PP;11;PARTIDO PROGRESSISTA;3122;0;230000000030
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;3;GOVERNADOR;C;UNIÃO POR RORAIMA;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;3301;0;230000000008
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;3;GOVERNADOR;P;PARTIDO HUMANISTA DA SOLIDARIEDADE;#NE#;PHS;31;PARTIDO HUMANISTA DA SOLIDARIEDADE;178;0;230000000010
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;3;GOVERNADOR;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;22;0;230000000015
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;5;SENADOR;C;PRA RORAIMA VOLTAR A SER FELIZ;#NE#;PT;13;PARTIDO DOS TRABALHADORES;3311;0;230000000030
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;5;SENADOR;C;RORAIMA VERDE E LIMPA;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;2392;0;230000000013
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;5;SENADOR;C;RORAIMA VERDE E LIMPA;#NE#;PV;43;PARTIDO VERDE;143;0;230000000013
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;5;SENADOR;C;UNIÃO POR RORAIMA;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;2948;0;230000000008
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;5;SENADOR;C;UNIÃO POR RORAIMA;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;3462;0;230000000008
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;5;SENADOR;P;PARTIDO HUMANISTA DA SOLIDARIEDADE;#NE#;PHS;31;PARTIDO HUMANISTA DA SOLIDARIEDADE;522;0;230000000010
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;AGORA É 10;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;9;3;230000000031
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;AGORA É 10;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;31;65;230000000031
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;AGORA É 10;#NE#;PRTB;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;39;12;230000000031
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;AGORA É 10;#NE#;PRB;10;PARTIDO REPUBLICANO BRASILEIRO;774;15;230000000031
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;AGORA É 10;#NE#;PRP;44;PARTIDO REPUBLICANO PROGRESSISTA;85;9;230000000031
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;AGORA É 10;#NE#;PSDC;27;PARTIDO SOCIAL DEMOCRATA CRISTÃO;0;1;230000000031
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;AGORA É 10;#NE#;PSL;17;PARTIDO SOCIAL LIBERAL;270;7;230000000031
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;AGORA É 10;#NE#;PV;43;PARTIDO VERDE;81;5;230000000031
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;AGORA É 10;#NE#;PMN;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;0;6;230000000031
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;RORAIMA FELIZ;#NE#;PP;11;PARTIDO PROGRESSISTA;219;20;230000000025
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;RORAIMA FELIZ;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;274;8;230000000025
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;RORAIMA FELIZ;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;61;4;230000000025
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;RORAIMA FELIZ;#NE#;PTB;14;PARTIDO TRABALHISTA BRASILEIRO;144;8;230000000025
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;RORAIMA FELIZ;#NE#;PTC;36;PARTIDO TRABALHISTA CRISTÃO;0;1;230000000025
27/03/2015;13:22:57;2010;1;ELEIÇÕES 2010;RR;RR;03050;ALTO ALEGRE;3;6;DEPUTADO FEDERAL;C;RORAIMA FELIZ;#NE#;PT;13;PARTIDO DOS TRABALHADORES;115;64;230000000025
