DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUN;NOME_MUN;ZONA;COD_CARGO;DESC_CARGO;TIPO_LEGENDA;NOME_COLIGACAO;CAMPOSICAO_LEGENDA;PARTIDO;NUM_PARTIDO;NOME_PART;QTDE_VOTOS;QTDE_VOTOS_LEGENDA;SEQUENCIAL_COLIGACAO
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;3;GOVERNADOR;C;EM NOME DO POVO;#NE#;DEM;25;DEMOCRATAS;486;0;260000000017
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;3;GOVERNADOR;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PT;13;PARTIDO DOS TRABALHADORES;1083;0;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;3;GOVERNADOR;P;PARTIDO COMUNISTA BRASILEIRO;#NE#;PCB;21;PARTIDO COMUNISTA BRASILEIRO;2;0;260000000008
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;3;GOVERNADOR;P;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;#NE#;PRTB;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;1;0;260000000004
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;3;GOVERNADOR;P;PARTIDO SOCIAL DEMOCRATA CRISTÃO;#NE#;PSDC;27;PARTIDO SOCIAL DEMOCRATA CRISTÃO;11;0;260000000018
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;3;GOVERNADOR;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;4;0;260000000001
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;3;GOVERNADOR;P;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;#NE#;PSTU;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;5;0;260000000003
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;1178;0;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;890;0;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;P;DEMOCRATAS;#NE#;DEM;25;DEMOCRATAS;267;0;260000000024
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;P;PARTIDO COMUNISTA BRASILEIRO;#NE#;PCB;21;PARTIDO COMUNISTA BRASILEIRO;7;0;260000000008
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;P;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;566;0;260000000025
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;P;PARTIDO POPULAR SOCIALISTA;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;45;0;260000000026
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;P;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;#NE#;PRTB;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;3;0;260000000004
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;P;PARTIDO SOCIAL DEMOCRATA CRISTÃO;#NE#;PSDC;27;PARTIDO SOCIAL DEMOCRATA CRISTÃO;19;0;260000000018
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;P;PARTIDO SOCIALISMO E LIBERDADE;#NE#;PSOL;50;PARTIDO SOCIALISMO E LIBERDADE;22;0;260000000001
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;5;SENADOR;P;PARTIDO VERDE;#NE#;PV;43;PARTIDO VERDE;9;0;260000000023
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;10;0;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;13;9;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PRB;10;PARTIDO REPUBLICANO BRASILEIRO;9;0;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;275;19;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;477;25;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PTC;36;PARTIDO TRABALHISTA CRISTÃO;0;1;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PR;22;PARTIDO DA REPÚBLICA;23;1;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;200;2;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;#NE#;PT;13;PARTIDO DOS TRABALHADORES;424;27;260000000013
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;SERGIPE EM PRIMEIRO LUGAR;#NE#;PV;43;PARTIDO VERDE;0;1;260000000010
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;SERGIPE EM PRIMEIRO LUGAR;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;0;17;260000000010
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;SERGIPE NO CAMINHO CERTO;#NE#;PRP;44;PARTIDO REPUBLICANO PROGRESSISTA;1;6;260000000009
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;SERGIPE NO CAMINHO CERTO;#NE#;PTB;14;PARTIDO TRABALHISTA BRASILEIRO;2;0;260000000009
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;VONTADE DO POVO;#NE#;DEM;25;DEMOCRATAS;129;10;260000000022
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;VONTADE DO POVO;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;1;1;260000000022
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;C;VONTADE DO POVO;#NE#;PP;11;PARTIDO PROGRESSISTA;1;5;260000000022
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;6;DEPUTADO FEDERAL;P;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;#NE#;PSTU;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;0;1;260000000003
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;7;DEPUTADO ESTADUAL;C;SERGIPE CONTINUA AVANÇANDO;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;1;0;260000000015
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;7;DEPUTADO ESTADUAL;C;SERGIPE CONTINUA AVANÇANDO;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;360;44;260000000015
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;7;DEPUTADO ESTADUAL;C;SERGIPE CONTINUA AVANÇANDO;#NE#;PRB;10;PARTIDO REPUBLICANO BRASILEIRO;1;3;260000000015
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;7;DEPUTADO ESTADUAL;C;SERGIPE CONTINUA AVANÇANDO;#NE#;PSC;20;PARTIDO SOCIAL CRISTÃO;138;10;260000000015
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;7;DEPUTADO ESTADUAL;C;SERGIPE CONTINUA AVANÇANDO;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;7;2;260000000015
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;7;DEPUTADO ESTADUAL;C;SERGIPE CONTINUA AVANÇANDO;#NE#;PR;22;PARTIDO DA REPÚBLICA;0;2;260000000015
27/03/2015;13:22:58;2010;1;ELEIÇÕES 2010;SE;SE;31011;AMPARO DE SÃO FRANCISCO;25;7;DEPUTADO ESTADUAL;C;SERGIPE CONTINUA AVANÇANDO;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;32;5;260000000015
