DATA_GERACAO;HORA_GERACAO;ANO_ELEICAO;NUM_TURNO;DESCRICAO_ELEICAO;SIGLA_UF;SIGLA_UE;CODIGO_MUN;NOME_MUN;ZONA;COD_CARGO;DESC_CARGO;TIPO_LEGENDA;NOME_COLIGACAO;CAMPOSICAO_LEGENDA;PARTIDO;NUM_PARTIDO;NOME_PART;QTDE_VOTOS;QTDE_VOTOS_LEGENDA;SEQUENCIAL_COLIGACAO
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;3;GOVERNADOR;C;FORÇA DO POVO;#NE#;PMDB;15;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;886;0;270000000010
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;3;GOVERNADOR;C;TOCANTINS LEVADO A SÉRIO;#NE#;PSDB;45;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;508;0;270000000003
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;5;SENADOR;C;FORÇA DO POVO;#NE#;PT;13;PARTIDO DOS TRABALHADORES;805;0;270000000010
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;5;SENADOR;C;TOCANTINS LEVADO A SÉRIO;#NE#;PR;22;PARTIDO DA REPÚBLICA;1088;0;270000000003
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;6;DEPUTADO FEDERAL;C;FORÇA DO POVO 1;#NE#;PC do B;65;PARTIDO COMUNISTA DO BRASIL;0;3;270000000001
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;6;DEPUTADO FEDERAL;C;FORÇA DO POVO 1;#NE#;PDT;12;PARTIDO DEMOCRÁTICO TRABALHISTA;161;13;270000000001
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;6;DEPUTADO FEDERAL;C;FORÇA DO POVO 1;#NE#;PPS;23;PARTIDO POPULAR SOCIALISTA;10;1;270000000001
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;6;DEPUTADO FEDERAL;C;FORÇA DO POVO 1;#NE#;PP;11;PARTIDO PROGRESSISTA;2;9;270000000001
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;6;DEPUTADO FEDERAL;C;FORÇA DO POVO 1;#NE#;PRP;44;PARTIDO REPUBLICANO PROGRESSISTA;11;4;270000000001
27/03/2015;13:23:00;2010;1;ELEIÇÕES 2010;TO;TO;73008;ABREULÂNDIA;7;6;DEPUTADO FEDERAL;C;FORÇA DO POVO 1;#NE#;PSB;40;PARTIDO SOCIALISTA BRASILEIRO;6;0;270000000001
